Date,Open,High,Low,Close,Volume,Adj Close
2017-01-23,62.700001,63.119999,62.57,62.959999,22914000,62.959999
2017-01-20,62.669998,62.82,62.369999,62.740002,29467500,62.740002
2017-01-19,62.240002,62.98,62.200001,62.299999,18435500,62.299999
2017-01-18,62.669998,62.700001,62.119999,62.50,19646500,62.50
2017-01-17,62.68,62.700001,62.029999,62.529999,20620400,62.529999
2017-01-13,62.619999,62.869999,62.349998,62.700001,19350400,62.700001
2017-01-12,63.060001,63.400002,61.950001,62.610001,20898900,62.610001
2017-01-11,62.610001,63.23,62.43,63.189999,21462800,63.189999
2017-01-10,62.73,63.07,62.279999,62.619999,18547000,62.619999
2017-01-09,62.759998,63.080002,62.540001,62.639999,20256600,62.639999
2017-01-06,62.299999,63.150002,62.040001,62.84,19897900,62.84
2017-01-05,62.189999,62.66,62.029999,62.299999,24845300,62.299999
2017-01-04,62.48,62.75,62.119999,62.299999,20999800,62.299999
2017-01-03,62.790001,62.84,62.130001,62.580002,20460500,62.580002
2016-12-30,62.959999,62.990002,62.029999,62.139999,25465900,62.139999
2016-12-29,62.860001,63.200001,62.73,62.900002,10181600,62.900002
2016-12-28,63.400002,63.400002,62.830002,62.990002,14247400,62.990002
2016-12-27,63.209999,64.07,63.209999,63.279999,11583900,63.279999
2016-12-23,63.450001,63.540001,62.799999,63.240002,12398000,63.240002
